tu_id,va,order,flag,tier,size,file,evidence
tu_046,0x1005C6D0,0,O2,cpp,468,src/core/cpp/0x1005C6D0.cpp,0x10077898 0x1007789C 0x100778A0
tu_046,0x1005C8B0,1,O2,T3,1951,src/core/cpp/0x1005C8B0.cpp,0x10077898 0x100778A4 0x100778A8 0x100778AC 0x100778B4 0x100778B8 0x100778BC 0x100778C0 0x100778C4 0x100778C8 0x100778CC 0x100778D0 0x100778D4 0x100778D8 0x100778DC 0x100778E0 0x100778E4 0x100778E8 0x100778F0
tu_046,0x1005D060,2,O2,T1,856,,0x100778CC
tu_046,0x1005D3C0,3,O2,T1,937,,0x1007789C 0x100778CC 0x100778D8 0x100778F4 0x100778F8
tu_046,0x1005D770,4,O2,T2,3858,src/core/driving/br_ctlai.c,0x10077898 0x100778A4 0x100778AC 0x100778C0 0x100778D8 0x100778DC 0x100778E0 0x100778E4 0x100778F4 0x100778F8 0x100778FC 0x10077900 0x10077904 0x10077908 0x1007790C 0x10077910 0x10077918 0x1007791C 0x10077920 0x10077928 0x10077930 0x10077938 0x10077940 0x10077944 0x10077948 0x1007794C 0x10077954 0x10077958 0x10077964 0x10077968 0x1007796C 0x10077970
tu_046,0x1005E6A0,5,O2,T4,216,src/core/racing/br_carinit.c,0x10077974 0x10077978 0x1007797C
tu_046,0x1005E7B0,6,O2,cpp,979,src/core/cpp/0x1005E7B0.cpp,0x100778AC 0x100778CC 0x100778DC 0x100778E4 0x10077904 0x10077980 0x10077984 0x10077988
tu_046,0x1005F6C0,7,O2,T2,2104,src/core/racing/br_lapsave.c,0x100778AC 0x100778CC 0x100778D8 0x10077904 0x10077990 0x10077998
tu_046,0x1005FF00,8,O2,T4,2538,src/core/racing/br_race.c,0x100778D8 0x1007799C 0x100779A0 0x100779A4 0x100779A8 0x100779B0
tu_046,0x10060B50,9,O2,T4,216,src/core/audio/br_sndpos.c,0x100778D8 0x100778F8 0x100779B4 0x100779B8
tu_046,0x10060C30,10,O2,T4,380,src/core/audio/br_sndpos.c,0x10077898 0x100778CC 0x100778F8 0x1007790C 0x10077968 0x100779BC 0x100779C0 0x100779C4 0x100779C8 0x100779CC 0x100779D0 0x100779D8 0x100779DC
