d3d_addr,glide_addr,votes
0x100AA8B8,0x100AA048,1
0x100AA8BC,0x100AA04C,1
0x100AA8C0,0x100AA050,1
0x100AA8C4,0x100AA054,1
0x100AA8C8,0x100AA058,1
0x100AA8CC,0x100AA05C,1
0x100AA8D8,0x100AA068,3
0x100AA998,0x100AA128,1
0x100AAA58,0x100AA1E8,1
0x100AAB18,0x100AA2A8,2
0x100AAB44,0x100AA2D4,1
0x100AAB58,0x100AA2E8,1
0x100AAE54,0x100AA5F4,1
0x100AAE68,0x100AA608,1
0x100AAE70,0x100AA610,1
0x100AAE78,0x100AA618,1
0x100AAE8C,0x100AA62C,1
0x100AAEA0,0x100AA640,1
0x100AAEC0,0x100AA660,1
0x100AAEE0,0x100AA680,1
0x100AAEF4,0x100AA694,1
0x100AAF0C,0x100AA6AC,1
0x100AAF20,0x100AA6C0,1
0x100AAF3C,0x100AA6DC,1
0x100AAF50,0x100AA6F0,1
0x100AAF68,0x100AA708,1
0x100AAF84,0x100AA724,1
0x100AAF98,0x100AA738,1
0x100AAFB4,0x100AA754,1
0x100AAFCC,0x100AA76C,1
0x100AAFE4,0x100AA784,1
0x100AAFF8,0x100AA798,1
0x100AB010,0x100AA7B0,1
0x100AB028,0x100AA7C8,1
0x100AB03C,0x100AA7DC,1
0x100AB054,0x100AA7F4,1
0x100AB068,0x100AA808,1
0x100AB07C,0x100AA81C,1
0x100AB090,0x100AA830,1
0x100AB0A4,0x100AA844,1
0x100AB0C0,0x100AA860,1
0x100AB0D4,0x100AA874,1
0x100AB0E0,0x100AA880,1
0x100AB0F4,0x100AA894,1
0x100AB104,0x100AA8A4,1
0x100AB118,0x100AA8B8,1
0x100AB12C,0x100AA8CC,1
0x100AB13C,0x100AA8DC,1
0x100AB154,0x100AA8F4,1
0x100AB168,0x100AA908,1
0x100AB17C,0x100AA91C,1
0x100AB18C,0x100AA92C,1
0x100AB1A0,0x100AA940,1
0x100AB1B4,0x100AA954,1
0x100AB1C8,0x100AA968,1
0x100AB1DC,0x100AA97C,1
0x100AB1EC,0x100AA98C,1
0x100AB208,0x100AA9A8,1
0x100AB220,0x100AA9C0,1
0x100AB238,0x100AA9D8,1
0x100AB250,0x100AA9F0,1
0x100AB264,0x100AAA04,1
0x100AB27C,0x100AAA1C,1
0x100AB290,0x100AAA30,1
0x100AB2A4,0x100AAA44,1
0x100AB2C0,0x100AAA60,1
0x100AB2D4,0x100AAA74,1
0x100AB2E8,0x100AAA88,1
0x100AB2F8,0x100AAA98,1
0x100AB30C,0x100AAAAC,1
0x100AB320,0x100AAAC0,1
0x100AB330,0x100AAAD0,2
0x100AB334,0x100AAAD4,13
0x100AB338,0x100AAAD8,1
0x100AB394,0x100AAB34,1
0x100AB3D8,0x100AAB78,5
0x100AB3DC,0x100AAB7C,7
0x100AB3E0,0x100AAB80,2
0x100AB3E4,0x100AAB84,2
0x100AB3E8,0x100AAB88,7
0x100AB3EC,0x100AAB8C,3
0x100AB3F4,0x100AAB94,3
0x100AB3F8,0x100AAB98,3
0x100AB408,0x100AABA8,2
0x100AB428,0x100AABC8,4
0x100AB42C,0x100AABCC,4
0x100AB438,0x100AABD8,5
0x100AB448,0x100AABE8,103
0x100AB458,0x100AABF8,16
0x100AB468,0x100AAC08,8
0x100AB478,0x100AAC18,21
0x100AB488,0x100AAC28,7
0x100AB498,0x100AAC38,2
0x100AB4A8,0x100AAC48,5
0x100AB4B8,0x100AAC58,6
0x100AB4C8,0x100AAC68,5
0x100AB4D8,0x100AAC78,8
0x100AB4E8,0x100AAC88,1
0x100AB4F8,0x100AAC98,8
0x100AB508,0x100AACA8,23
0x100AB528,0x100AACC8,1
0x100AB558,0x100AACF8,2
0x100AB568,0x100AAD08,2
0x100AB56C,0x100AAD0C,3
0x100AB57C,0x100AAD1C,5
0x100AB5F4,0x100AAD94,1
0x100AB9C4,0x100AB164,1
0x100AB9C8,0x100AB168,1
0x100AB9EC,0x100AB18C,1
0x100AB9F0,0x100AB190,1
0x100AB9F4,0x100AB194,2
0x100AB9F8,0x100AB198,2
0x100AC300,0x100ABAA0,7
0x100AC304,0x100ABAA4,8
0x100AC308,0x100ABAA8,3
0x100AC368,0x100ABB08,1
0x100AC3B0,0x100ABB50,2
0x100AC400,0x100ABBA0,1
0x100AC420,0x100ABBC0,1
0x100AC4A0,0x100ABC40,1
0x100AC4B0,0x100ABC50,1
0x100AC4C0,0x100ABC60,1
0x100AC4D8,0x100ABC78,1
0x100AC518,0x100ABCB8,1
0x100AC520,0x100ABCC0,3
0x100AC550,0x100ABCF0,1
0x100AC570,0x100ABD10,1
0x100AC590,0x100ABD30,1
0x100AC5A8,0x100ABD48,1
0x100AC630,0x100ABDD0,1
0x100AC631,0x100ABDD1,1
0x100AC640,0x100ABDE0,1
0x100AC648,0x100ABDE8,13
0x100AC64C,0x100ABDEC,3
0x100AC650,0x100ABDF0,3
0x100AC654,0x100ABDF4,19
0x100AC658,0x100ABDF8,7
0x100AC65C,0x100ABDFC,12
0x100AC6A0,0x100ABE40,5
0x100AC6A4,0x100ABE44,2
0x100AC6E4,0x100ABE84,2
0x100AC6E8,0x100ABE88,2
0x100AC9DC,0x100AC17C,1
0x100ACB5C,0x100AC2FC,1
0x100ACB60,0x100AC300,1
0x100ACE58,0x100AC5F8,1
0x100ACE5C,0x100AC5FC,1
0x100AD274,0x100ACA4C,3
0x100AD2F4,0x100ACACC,1
0x100AD300,0x100ACAD8,40
0x100AD310,0x100ACAE8,1
0x100AD348,0x100ACB20,1
0x100AD35C,0x100ACB34,2
0x100ADF68,0x100AD770,1
0x100ADF90,0x100AD798,1
0x100ADFB8,0x100AD7C0,2
0x100ADFBC,0x100AD7C4,2
0x100ADFC0,0x100AD7C8,2
0x100ADFD0,0x100AD7D8,1
0x100ADFE0,0x100AD7E8,1
0x100ADFE4,0x100AD7EC,1
0x100ADFE8,0x100AD7F0,1
0x100ADFEC,0x100AD7F4,1
0x100ADFF0,0x100AD7F8,1
0x100AE6D8,0x100ADE78,1
0x100B2AD0,0x100B22D8,1
0x100B3674,0x100B2E7C,1
0x100B3694,0x100B2E9C,1
0x100B36B4,0x100B2EBC,1
0x100B36D4,0x100B2EDC,1
0x100B36F8,0x100B2F00,20
0x100B36FC,0x100B2F04,24
0x100B3700,0x100B2F08,2
0x100B37D0,0x100B2FD8,3
0x100B37D1,0x100B2FD9,3
0x100B37D2,0x100B2FDA,3
0x100B380C,0x100B3014,27
0x100B3814,0x100B301C,1
0x100B3818,0x100B3020,1
0x100B381C,0x100B3024,2
0x100B381E,0x100B3026,2
0x100B3820,0x100B3028,10
0x100B3821,0x100B3029,8
0x100B388C,0x100B3094,1
0x100B38A0,0x100B30A8,1
0x100B39B0,0x100B31B8,2
0x100B3A68,0x100B3270,2
0x100B3AA8,0x100B32B0,8
0x100B3AB4,0x100B32BC,7
0x100B3AB8,0x100B32C0,7
0x100B3D00,0x100B3508,2
0x100B3D30,0x100B3538,1
0x100B3D60,0x100B3568,1
0x100B3D90,0x100B3598,1
0x100B3DC0,0x100B35C8,1
0x100B3DE8,0x100B35F0,1
0x100B3E10,0x100B3618,1
0x100B4024,0x100B382C,1
0x100B403C,0x100B3844,1
0x100B4050,0x100B3858,36
0x100B4054,0x100B385C,1
0x100B4068,0x100B3870,1
0x100B407C,0x100B3884,1
0x100B4098,0x100B38A0,3
0x100B4140,0x100B3948,3
0x100B41E8,0x100B39F0,3
0x100B4290,0x100B3A98,3
0x100B4338,0x100B3B40,1
0x100B433C,0x100B3B44,2
0x100B5418,0x100B4C20,1
0x100B5428,0x100B4C30,1
0x100B5548,0x100B4D50,1
0x100B5668,0x100B4E70,1
0x100B56C8,0x100B4ED0,1
0x100B5728,0x100B4F30,1
0x100B5848,0x100B5050,1
0x100B5968,0x100B5170,5
0x100B5A1C,0x100B5224,1
0x100B5A2C,0x100B5234,1
0x100B5A48,0x100B5250,1
0x100B5A64,0x100B526C,1
0x100B5A80,0x100B5288,1
0x100B5D90,0x100B5598,2
0x100B5DE8,0x100B55F0,16
0x100B5DF0,0x100B55F8,11
0x100B5E30,0x100B5638,1
0x100B5E34,0x100B563C,1
0x100B64B0,0x100B5CB8,3
0x100B64EC,0x100B5CF4,1
0x100B64F8,0x100B5D00,4
0x100B6534,0x100B5D3C,1
0x100B6540,0x100B5D48,4
0x100B6C00,0x100B6408,3
0x100B6C3C,0x100B6444,1
0x100B6C48,0x100B6450,2
0x100B6C90,0x100B6498,1
0x100B6C98,0x100B64A0,1
0x100B6CA0,0x100B64A8,1
0x100B84F4,0x100B7CFC,3
0x100B8538,0x100B7D40,4
0x100B8938,0x100B8140,1
0x100B89A0,0x100B81A8,1
0x100B8C94,0x100B849C,1
0x100B8CA0,0x100B84A8,1
0x100B94A8,0x100B8CB0,1
0x100B9CB0,0x100B94B8,1
0x100BAAC8,0x100BA2D0,1
0x100BBAC8,0x100BB2D0,1
0x100BBAD4,0x100BB2DC,2
0x100BBAD8,0x100BB2E0,1
0x100BBADC,0x100BB2E4,1
0x100BBAE0,0x100BB2E8,2
0x100BBAE4,0x100BB2EC,1
0x100BD2A8,0x100BCAB0,3
0x100BD3E0,0x100BCBE8,11
0x100BD3F0,0x100BCBF8,1
0x100BD3F4,0x100BCBFC,1
0x100BD424,0x100BCC2C,2
0x100BD428,0x100BCC30,1
0x100BD42C,0x100BCC34,2
0x100BD430,0x100BCC38,2
0x100BD438,0x100BCC40,4
0x100BD448,0x100BCC50,1
0x100BD46C,0x100BCC74,1
0x100BD49C,0x100BCCA4,1
0x100BD4C8,0x100BCCD0,1
0x100BD4EC,0x100BCCF4,1
0x100BD528,0x100BCD30,1
0x100BD564,0x100BCD6C,1
0x100C129C,0x100BCDCC,2
0x100C12A0,0x100BCDD0,4
0x1020AB98,0x102066C8,2
0x10220B20,0x1021C650,6
0x10220B24,0x1021C654,2
0x10220B28,0x1021C658,2
