d3d_va,glide_va,size,class,matched_by
0x1008EA93,0x10074B3B,10,shared,body
0x1008EAA0,0x100750B0,11,shared,body
0x1008EAAB,0x100750B0,11,shared,body
0x1008EAB6,0x100750B0,11,shared,body
0x1008EAC1,0x100750B0,11,shared,body
0x1008EACC,0x100750B0,11,shared,body
0x1008EAD7,0x100750B0,11,shared,body
0x1008EAE2,0x100750B0,11,shared,body
0x1008EAED,0x100750B0,11,shared,body
0x1008EAF8,0x100750B0,11,shared,body
0x1008EB03,0x100750B0,11,shared,body
0x1008EB0E,0x100750B0,11,shared,body
0x1008EB19,0x100750B0,11,shared,body
0x1008EB24,0x100750B0,11,shared,body
0x1008EB2F,0x100750B0,11,shared,body
0x1008EB3A,0x100750B0,11,shared,body
0x1008EB45,0x100750B0,11,shared,body
0x1008EB50,0x100750B0,11,shared,body
0x1008EB5B,0x10074B3B,10,shared,body
0x1008EB70,0x100750B0,11,shared,body
0x1008EB7B,0x100750B0,11,shared,body
0x1008EB86,0x100750B0,11,shared,body
0x1008EB91,0x100750B0,11,shared,body
0x1008EB9C,0x100750B0,11,shared,body
0x1008EBA7,0x100750B0,11,shared,body
0x1008EBB2,0x100750B0,11,shared,body
0x1008EBBD,0x100750B0,11,shared,body
0x1008EBC8,0x100750B0,11,shared,body
0x1008EBD3,0x100750B0,11,shared,body
0x1008EBDE,0x100750B0,11,shared,body
0x1008EBE9,0x100750B0,11,shared,body
0x1008EBF4,0x100750B0,11,shared,body
0x1008EBFF,0x100750B0,11,shared,body
0x1008EC0A,0x100750B0,11,shared,body
0x1008EC15,0x100750B0,11,shared,body
0x1008EC20,0x100750B0,11,shared,body
0x1008EC2B,0x100750B0,11,shared,body
0x1008EC36,0x100750B0,11,shared,body
0x1008EC41,0x100750B0,11,shared,body
0x1008EC4C,0x100750B0,11,shared,body
0x1008EC57,0x100750B0,11,shared,body
0x1008EC62,0x100750B0,11,shared,body
0x1008EC6D,0x100750B0,11,shared,body
0x1008EC78,0x100750B0,11,shared,body
0x1008EC83,0x10074B3B,10,shared,body
0x1008EC90,0x100750B0,11,shared,body
0x1008EC9B,0x100750B0,11,shared,body
0x1008ECA6,0x100750B0,11,shared,body
