va,size,pattern,detail
0x10031342,319,branching,101 insns
0x10031481,93,branching,29 insns
0x100314E8,416,other,101 insns
0x10031688,478,branching,123 insns
0x10031866,1241,x87-math,269 insns
0x10031D3F,144,x87-math,44 insns
0x10031DCF,1303,branching,323 insns
0x100322E6,1421,branching,334 insns
0x10032873,44,calls-out,21 insns
0x1003289F,419,x87-math,117 insns
0x10032A42,502,branching,129 insns
0x10032C38,442,branching,112 insns
0x10032DF2,102,other,26 insns
0x10032E5D,930,no-ret,
0x100331FF,655,other,181 insns
0x1003348E,10,other,8 insns
0x10033498,63,no-ret,
0x100334D7,681,branching,194 insns
0x10033780,46,branching,11 insns
0x100337AE,59,calls-out,15 insns
0x100337E9,79,branching,23 insns
0x10033838,1145,branching,276 insns
0x10033CB1,466,x87-math,119 insns
0x10033E83,506,x87-math,143 insns
0x1003407D,310,x87-math,58 insns
0x100341B3,39,no-ret,
0x100341E2,539,branching,157 insns
0x1003445A,549,branching,149 insns
0x1003467F,106,no-ret,
0x100346E9,209,no-ret,
0x100347BA,88,x87-math,23 insns
0x10034812,627,branching,176 insns
0x10034C32,31,other,16 insns
0x10034C51,21,other,9 insns
0x10034C66,13,other,6 insns
0x10034C73,11,calls-out,5 insns
0x10034C83,158,no-ret,
0x10034D21,534,no-ret,
0x10034F37,297,branching,104 insns
0x10035060,142,branching,56 insns
0x100350EE,1069,branching,301 insns
0x10035520,101,branching,32 insns
0x10035585,118,branching,40 insns
0x100355FB,63,calls-out,30 insns
0x1003563A,1389,x87-math,442 insns
0x10035BA7,19,calls-out,8 insns
0x10035BBA,23,calls-out,9 insns
0x10035C70,39,other,16 insns
0x10035CA0,49,other,16 insns
0x10035CE0,690,x87-math,243 insns
0x10035FA0,31,other,15 insns
0x10035FC0,21,other,11 insns
0x10035FE0,59,other,17 insns
0x10036030,185,branching,81 insns
0x100360F0,2773,no-ret,
0x10036BD0,47,calls-out,18 insns
0x10036C00,1062,branching,371 insns
0x10037030,51,branching,16 insns
0x10037070,84,branching,33 insns
0x100370D0,1641,branching,414 insns
0x10037740,338,branching,111 insns
0x100378B0,127,branching,41 insns
0x10037930,83,branching,29 insns
0x10037A90,116,calls-out,40 insns
0x10037B10,764,x87-math,219 insns
0x10037E10,398,branching,140 insns
0x10037FA0,58,branching,25 insns
0x10037FE0,43,branching,21 insns
0x10038010,563,calls-out,192 insns
0x10038250,76,branching,33 insns
0x100382A0,217,branching,80 insns
0x10038380,64,calls-out,23 insns
0x100383C0,75,other,26 insns
0x10038410,52,branching,21 insns
0x10038450,188,branching,64 insns
0x10038510,1549,branching,495 insns
0x10038B20,368,branching,128 insns
0x10038CB0,461,no-ret,
0x10038E90,30,branching,12 insns
0x10038F30,195,branching,53 insns
0x10039000,32,calls-out,9 insns
0x10039020,469,x87-math,124 insns
0x10039200,1464,x87-math,405 insns
0x10039F20,726,x87-math,186 insns
0x1003A200,315,x87-math,76 insns
0x1003A340,398,x87-math,97 insns
0x1003A4D0,92,branching,23 insns
0x1003A530,219,branching,73 insns
0x1003A610,67,other,18 insns
0x1003A660,73,branching,21 insns
0x1003A6B0,601,x87-math,185 insns
0x1003A910,55,branching,16 insns
0x1003A950,55,x87-math,17 insns
0x1003A990,657,branching,189 insns
0x1003AC30,83,x87-math,33 insns
0x1003AC90,37,x87-math,15 insns
0x1003ACC0,31,x87-math,12 insns
0x1003ACE0,37,x87-math,12 insns
0x1003AD10,43,x87-math,16 insns
0x1003AD40,43,x87-math,15 insns
0x1003AD70,45,x87-math,17 insns
0x1003ADA0,168,x87-math,56 insns
0x1003AE50,141,x87-math,51 insns
0x1003AEE0,37,x87-math,13 insns
0x1003AF10,35,x87-math,13 insns
0x1003AF40,37,x87-math,13 insns
0x1003AF70,33,x87-math,12 insns
0x1003AFA0,57,x87-math,19 insns
0x1003AFE0,49,x87-math,16 insns
0x1003B020,45,x87-math,15 insns
0x1003B050,55,x87-math,16 insns
0x1003B090,15,other,6 insns
0x1003B0A0,55,x87-math,21 insns
0x1003B0E0,75,x87-math,28 insns
0x1003B130,63,x87-math,24 insns
