vram,size,module,how,name,status,pc_va,source
80257A1C,36,unfiled,confirmed,BrMenuFlags18D0,SHAPE,,src/core/slice2_24.c
80257A40,64,,,,,,
80257A80,40,settings,confirmed,BrCountedTotal,SHAPE,,src/core/settings/br_state.c
80257AA8,40,,,,,,
80257AD0,44,,,,,,
80257AFC,8,,,,,,
80257B04,116,,,,,,
80257B78,108,,,,,,
80257BE4,96,,,,,,
80257C44,248,,,,,,
80257D3C,820,,,,,,
80258070,8,,,,,,
80258078,8,,,,,,
80258080,188,,,,,,
8025813C,144,geometry,confirmed,BrVec4Normalise,SHAPE,,src/core/geometry/br_vecnorm.c
